,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Monday,0.017034722222222225,0.0,0.0,0.0,0.0,0.0,0.03765361111111111,10.208559722222223,0.6707702777777779,1.8902377777777777,1.977822777777778,2.040016388888889,2.9959044444444443,2.9340808333333337,5.343993055555556,12.90706,5.382021944444444,3.6694219444444443,1.3832752777777777,2.4414086111111115,2.8207541666666667,1.864273888888889,0.09219166666666666,0.11298472222222222
Tuesday,0.20930888888888888,0.0,0.0,0.0,0.0,0.0,2.1661605555555554,8.6243625,0.21340222222222224,0.09279666666666667,0.2427138888888889,0.10458888888888888,0.11175277777777778,1.5114291666666668,2.5654311111111108,9.965338333333333,5.2271158333333325,3.6100791666666665,1.3705672222222225,2.6900544444444443,1.1388494444444446,0.8002597222222222,0.08946138888888888,0.06185916666666667
Wednesday,0.0,0.0,0.0,0.0,0.0,0.0,0.39539888888888886,7.635966111111111,0.8700888888888889,1.7421241666666667,0.7564711111111111,0.2453769444444444,2.6685355555555557,3.0350597222222224,3.7827577777777774,9.428589166666667,6.295732777777777,5.563104166666666,2.5165391666666665,2.791296111111111,2.8341147222222225,3.031116666666667,0.5557955555555555,0.5087691666666666
Thursday,0.0241175,0.0,0.0,0.0,0.0,0.0,0.3500902777777778,9.941675,0.0,0.21779500000000002,0.8101369444444444,1.6044497222222225,2.964180277777778,2.5525255555555555,3.145992222222222,10.096270833333334,4.229921388888889,3.512537222222222,1.8560569444444444,1.7073708333333333,4.311041666666667,1.1223180555555556,0.39737472222222225,0.0546175
Friday,0.0722975,0.0,0.0,0.0,0.0,0.0,0.00904277777777778,9.08408611111111,0.06491777777777778,1.1300347222222222,1.0878236111111113,1.4748930555555555,2.743748055555556,2.5279472222222226,4.0766888888888895,13.869509722222222,6.416934166666667,2.730045,1.2791702777777776,1.1854097222222222,1.491109166666667,1.8163630555555557,0.56154,0.3591911111111111
Saturday,0.09417083333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.027671111111111108,0.5982908333333334,1.2540175,1.8221327777777778,2.135271388888889,1.315725,1.8975016666666669,2.817921111111111,4.595909722222222,3.4280233333333334,3.0722133333333335,0.7527519444444445,1.9535483333333334,0.7821525,0.7181761111111111,0.3218680555555555,0.44249
Sunday,0.19017555555555551,0.009564444444444447,0.0,0.0,0.0,0.0,0.18062472222222223,0.0,0.0,1.1485041666666664,1.053346388888889,1.5363541666666667,2.4630091666666667,2.3190494444444445,6.2033625,8.148193888888889,4.922469166666667,3.9347547222222223,2.5087405555555558,2.032968611111111,2.2636177777777777,3.210678333333333,1.4111302777777779,0.5634802777777778
